hospcode,name,prigov,type,org,region,provcode,prov,distcode,dist,subdistcode,subdist
05826,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงเย็น  ตำบลบ้านแปะ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,50,เชียงใหม่,5002,จอมทอง,500206,บ้านแปะ
05311,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนศรีสวัสดิ์,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,7,46,กาฬสินธุ์,4602,นามน,460202,ยอดแกง
03145,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วง ตำบลบ้านผือ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,32,สุรินทร์,3204,จอมพระ,320406,บ้านผือ
09861,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสวนโหนด ตำบลตะแพน,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,12,93,พัทลุง,9307,ศรีบรรพต,930703,ตะแพน
06613,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองหล่ม,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,56,พะเยา,5605,ดอกคำใต้,560508,หนองหล่ม
03413,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปลาขาว ตำบลหนองแค,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,10,33,ศรีสะเกษ,3309,ราษีไศล,330903,หนองแค
01023,โรงพยาบาลส่งเสริมสุขภาพตำบลบางแม่นาง,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,4,12,นนทบุรี,1203,บางใหญ่,120302,บางแม่นาง
03009,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเกาะ ตำบลสตึก,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,31,บุรีรัมย์,3111,สตึก,311101,สตึก
05766,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทรายไหลแล้ง ตำบลนาอุดม,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,10,49,มุกดาหาร,4902,นิคมคำสร้อย,490205,นาอุดม
08655,โรงพยาบาลส่งเสริมสุขภาพตำบลแหลมผักเบี้ย,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,76,เพชรบุรี,7607,บ้านแหลม,760705,แหลมผักเบี้ย
06043,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยแก้ว ตำบลห้วยแก้ว,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,50,เชียงใหม่,5023,แม่ออน,502304,ห้วยแก้ว
05251,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหน่อม ตำบลหน่อม,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,45,ร้อยเอ็ด,4514,อาจสามารถ,451404,หน่อม
77685,ศูนย์สุขภาพชุมชนเมืองยะหา,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),กระทรวงสาธารณสุข,12,95,ยะลา,9505,ยะหา,950501,ยะหา
08979,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหน้าเหมน ตำบลช้างกลาง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,11,80,นครศรีธรรมราช,8022,ช้างกลาง,802201,ช้างกลาง
01330,โรงพยาบาลส่งเสริมสุขภาพตำบลสามบัณฑิต,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,14,พระนครศรีอยุธยา,1414,อุทัย,141403,สามบัณฑิต
09478,โรงพยาบาลส่งเสริมสุขภาพตำบลลำชิง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,90,สงขลา,9004,นาทวี,900404,คลองทราย
08000,โรงพยาบาลส่งเสริมสุขภาพตำบลเกาะศาลพระ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,5,70,ราชบุรี,7009,วัดเพลง,700901,เกาะศาลพระ
04966,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใส้จ่อ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,44,มหาสารคาม,4404,กันทรวิชัย,440409,กุดใส้จ่อ
01293,โรงพยาบาลส่งเสริมสุขภาพตำบลพระยาบันลือ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,14,พระนครศรีอยุธยา,1410,ลาดบัวหลวง,141004,พระยาบันลือ
07781,โรงพยาบาลส่งเสริมสุขภาพตำบลวังบาล ตำบลวังบาล,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,2,67,เพชรบูรณ์,6704,หล่มเก่า,670407,วังบาล
02800,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองไผ่,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,30,นครราชสีมา,3020,สีคิ้ว,302010,คลองไผ่
03987,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแวง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,36,ชัยภูมิ,3605,หนองบัวแดง,360507,หนองแวง
06269,โรงพยาบาลส่งเสริมสุขภาพตำบลหาดงิ้ว,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,2,53,อุตรดิตถ์,5301,เมืองอุตรดิตถ์,530115,หาดงิ้ว
99869,ศูนย์สุขภาพชุมชนโรงพยาบาลพล,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),กระทรวงสาธารณสุข,7,40,ขอนแก่น,4012,พล,401201,เมืองพล
01891,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโค้งดารา,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,6,20,ชลบุรี,2007,ศรีราชา,200705,หนองขาม
05685,โรงพยาบาลส่งเสริมสุขภาพตำบลพุ่มแก,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,48,นครพนม,4807,นาแก,480706,พุ่มแก
09820,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านด่านโลด  ตำบลแม่ขรี,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,12,93,พัทลุง,9304,ตะโหมด,930401,แม่ขรี
02257,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองยาว,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,6,24,ฉะเชิงเทรา,2406,พนมสารคาม,240605,หนองยาว
01727,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองเรือ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,19,สระบุรี,1904,วิหารแดง,190403,คลองเรือ
09780,โรงพยาบาลส่งเสริมสุขภาพตำบลลำปำ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,12,93,พัทลุง,9301,เมืองพัทลุง,930109,ลำปำ
02633,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองใหญ่,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,9,30,นครราชสีมา,3008,ด่านขุนทด,300815,ห้วยบง
05517,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจำปาดง ตำบลกุดเรือคำ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,8,47,สกลนคร,4708,วานรนิวาส,470813,กุดเรือคำ
09802,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าเหนาะ  ตำบลคลองทรายขาว,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,93,พัทลุง,9302,กงหรา,930204,คลองทรายขาว
07999,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเวียงทุน (อุดมธรรมอุปถัมภ์) ตำบลเกาะศาลพระ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,70,ราชบุรี,7009,วัดเพลง,700901,เกาะศาลพระ
02759,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกพะงาด,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,9,30,นครราชสีมา,3017,ชุมพวง,301703,ท่าลาด
40965,บ้านอบอุ่น คลินิกเวชกรรม สาขาสะพานแดง,เอกชน,คลินิกเอกชน,เอกชน,4,13,ปทุมธานี,1303,ธัญบุรี,130301,ประชาธิปัตย์
06340,โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งโฮ้ง,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,1,54,แพร่,5401,เมืองแพร่,540105,ทุ่งโฮ้ง
08901,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปลายทราย ตำบลแหลมตะลุมพุก,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,11,80,นครศรีธรรมราช,8012,ปากพนัง,801209,แหลมตะลุมพุก
04602,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองสว่าง  ต.บ้านม่วง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,41,อุดรธานี,4111,บ้านดุง,411111,บ้านม่วง
07915,โรงพยาบาลส่งเสริมสุขภาพตำบลท่านัด,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,5,70,ราชบุรี,7004,ดำเนินสะดวก,700411,ท่านัด
08438,โรงพยาบาลส่งเสริมสุขภาพตำบลกระทุ่มล้ม,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,73,นครปฐม,7306,สามพราน,730610,กระทุ่มล้ม
05592,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนางเติ่ง ตำบลโคกภู,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,8,47,สกลนคร,4718,ภูพาน,471803,โคกภู
08952,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองเสาเหนือ ตำบลบางขัน,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,11,80,นครศรีธรรมราช,8017,บางขัน,801701,บางขัน
03323,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำโปรย  ตำบลละลาย,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,10,33,ศรีสะเกษ,3304,กันทรลักษ์,330407,ละลาย
02208,โรงพยาบาลส่งเสริมสุขภาพตำบลสาวชะโงก,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,6,24,ฉะเชิงเทรา,2402,บางคล้า,240211,สาวชะโงก
04274,โรงพยาบาลส่งเสริมสุขภาพตำบลป่าหวายนั่ง,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,40,ขอนแก่น,4002,บ้านฝาง,400202,ป่าหวายนั่ง
03258,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโจงโลง ตำบลตาวัง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,32,สุรินทร์,3213,บัวเชด,321304,ตาวัง
03170,โรงพยาบาลส่งเสริมสุขภาพตำบลด่าน,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,9,32,สุรินทร์,3206,กาบเชิง,320605,ด่าน
03288,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแก้ว ตำบลหนองแก้ว,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,10,33,ศรีสะเกษ,3301,เมืองศรีสะเกษ,330114,หนองแก้ว
04923,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวนาคำ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,7,44,มหาสารคาม,4401,เมืองมหาสารคาม,440111,หนองปลิง
06109,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยไฟ  ตำบลนครเจดีย์,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,51,ลำพูน,5106,ป่าซาง,510611,นครเจดีย์
14042,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหลวง ตำบลสามหมื่น,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,2,63,ตาก,6304,แม่ระมาด,630405,สามหมื่น
08243,โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำซับ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,5,72,สุพรรณบุรี,7205,ศรีประจันต์,720508,วังน้ำซับ
02306,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพระ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,6,25,ปราจีนบุรี,2501,เมืองปราจีนบุรี,250108,บ้านพระ
08639,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกระเจ็ด,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,76,เพชรบุรี,7606,บ้านลาด,760608,หนองกระเจ็ด
07026,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทรัพย์ไพวัลย์,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,3,60,นครสวรรค์,6010,พยุหะคีรี,601010,เขากะลา
09565,โรงพยาบาลส่งเสริมสุขภาพตำบลหูแร่,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,90,สงขลา,9011,หาดใหญ่,901112,ทุ่งตำเสา
03742,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโพธิ์ ตำบลโพธิ์ศรี,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,10,34,อุบลราชธานี,3419,พิบูลมังสาหาร,341910,โพธิ์ศรี
13822,โรงพยาบาลส่งเสริมสุขภาพตำบลวังโตนด,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,6,22,จันทบุรี,2209,นายายอาม,220902,วังโตนด
14092,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยเหมือง  ตำบลนาขา,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,11,86,ชุมพร,8604,หลังสวน,860404,นาขา
22741,สถานพยาบาลเรือนจำกลางกำแพงเพชร,รัฐบาล,ศูนย์บริการสาธารณสุข,กระทรวงยุติธรรม,3,62,กำแพงเพชร,6201,เมืองกำแพงเพชร,620110,หนองปลิง
09619,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ ตำบลควนโพธิ์,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,91,สตูล,9101,เมืองสตูล,910111,ควนโพธิ์
02794,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดน้อย,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,9,30,นครราชสีมา,3020,สีคิ้ว,302006,กุดน้อย
06219,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาคต ตำบลป่าตัน,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,52,ลำปาง,5210,แม่ทะ,521003,ป่าตัน
04353,โรงพยาบาลส่งเสริมสุขภาพตำบลดูนสาด,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,40,ขอนแก่น,4009,กระนวน,400909,ดูนสาด
04486,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนสูง    บ้านป่าหวาย,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,41,อุดรธานี,4101,เมืองอุดรธานี,410106,โนนสูง
14274,โรงพยาบาลส่งเสริมสุขภาพตำบลนางเหล้า,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,90,สงขลา,9002,สทิงพระ,900205,ชุมพล
10782,โรงพยาบาลไชโย,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,4,15,อ่างทอง,1502,ไชโย,150206,ไชโย
02553,โรงพยาบาลส่งเสริมสุขภาพตำบลไชยมงคล,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,9,30,นครราชสีมา,3001,เมืองนครราชสีมา,300118,ไชยมงคล
04630,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านธาตุ  ต.บ้านธาตุ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,41,อุดรธานี,4119,เพ็ญ,411902,บ้านธาตุ
09660,โรงพยาบาลส่งเสริมสุขภาพตำบลนาโต๊ะหมิง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,92,ตรัง,9201,เมืองตรัง,920113,นาโต๊ะหมิง
05072,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาโพธิ์,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,44,มหาสารคาม,4412,กุดรัง,441202,นาโพธิ์
09681,โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อน้ำร้อน,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,92,ตรัง,9202,กันตัง,920210,บ่อน้ำร้อน
01525,โรงพยาบาลส่งเสริมสุขภาพตำบลบางขาม,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,16,ลพบุรี,1606,บ้านหมี่,160613,บางขาม
08187,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคูเมือง,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,5,72,สุพรรณบุรี,7202,เดิมบางนางบวช,720206,ทุ่งคลี
09081,โรงพยาบาลส่งเสริมสุขภาพตำบลถ้ำ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,11,82,พังงา,8204,ตะกั่วทุ่ง,820401,ถ้ำ
08088,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตากยา ตำบลหนองตากยา,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,71,กาญจนบุรี,7106,ท่าม่วง,710613,หนองตากยา
10916,โรงพยาบาลท่าตูม,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,9,32,สุรินทร์,3203,ท่าตูม,320301,ท่าตูม
04944,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขื่อน,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,44,มหาสารคาม,4403,โกสุมพิสัย,440310,เขื่อน
09637,โรงพยาบาลส่งเสริมสุขภาพตำบลเขาขาว,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,91,สตูล,9105,ละงู,910503,เขาขาว
02152,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเจียรพัฒนา,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,6,23,ตราด,2303,เขาสมิง,230307,เทพนิมิต
14435,เทศบาลเมืองอุตรดิตถ์,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,2,53,อุตรดิตถ์,5301,เมืองอุตรดิตถ์,530101,ท่าอิฐ
08519,โรงพยาบาลส่งเสริมสุขภาพตำบลแหลมใหญ่,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,75,สมุทรสงคราม,7501,เมืองสมุทรสงคราม,750107,แหลมใหญ่
11915,โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งโดน,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,90,สงขลา,9005,เทพา,900505,ท่าม่วง
06016,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีสองเมือง ตำบลไชยสถาน,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,1,50,เชียงใหม่,5019,สารภี,501904,ไชยสถาน
01693,โรงพยาบาลส่งเสริมสุขภาพตำบลหินซ้อน,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,19,สระบุรี,1902,แก่งคอย,190206,หินซ้อน
99930,ศูนย์สุขภาพชุมชนภูผาม่าน,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),กระทรวงสาธารณสุข,7,40,ขอนแก่น,4020,ภูผาม่าน,402003,ภูผาม่าน
05300,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าไคร้,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,7,46,กาฬสินธุ์,4601,เมืองกาฬสินธุ์,460108,บึงวิชัย
06997,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพนมเศษ  ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,3,60,นครสวรรค์,6008,ท่าตะโก,600809,พนมเศษ
05549,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบงใต้ ตำบลบงใต้,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,47,สกลนคร,4712,สว่างแดนดิน,471211,บงใต้
06119,ศูนย์บริการสาธารณสุขบ้านกล้วยแพะ เทศบาลเมืองเขลางค์นคร,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,1,52,ลำปาง,5201,เมืองลำปาง,520107,กล้วยแพะ
06852,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ของ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,1,58,แม่ฮ่องสอน,5803,ปาย,580303,แม่นาเติง
04561,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนหายโศก  ต.ดอนหายโศก,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,41,อุดรธานี,4106,หนองหาน,410617,ดอนหายโศก
23969,ศูนย์บริการสาธารณสุขโพธิ์เสด็จ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,11,80,นครศรีธรรมราช,8001,เมืองนครศรีธรรมราช,800118,โพธิ์เสด็จ
07933,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,5,70,ราชบุรี,7005,บ้านโป่ง,700510,บ้านม่วง
01443,โรงพยาบาลส่งเสริมสุขภาพตำบลดอนโพธิ์,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,16,ลพบุรี,1601,เมืองลพบุรี,160111,ดอนโพธิ์
