"hoscode","hosname","hostype","address","road","mu","subdistcode","distcode","provcode","postcode","hoscodenew","bed","level_service","bedhos","hdc_regist","dep","hmain_sent","register_date","mcode","amcode","tmcode","lat","lon"
"00033","สำนักงานสาธารณสุขจังหวัดกาฬสินธุ์","01","3/38   ถนนเลี่ยงเมือง  ",NULL,"00","01","01",46,"-","000003300",0,NULL,0,0,21002,"",NULL,21000,4601,460101,16.42493870000000000000,103.51459590000002000000
"00034","สำนักงานสาธารณสุขจังหวัดสกลนคร","01","บริเวณศูนย์ราชการจังหวัดสกลนคร  ",NULL,"00","01","01",47,47000,"000003400",0,"-",0,0,21002,"",NULL,21000,4701,470101,17.15701033288698300000,104.13278941428177000000
"00035","สำนักงานสาธารณสุขจังหวัดนครพนม","01","-","","00","01","01",48,"-","000003500",0,"-",0,0,21002,"",NULL,21000,4801,480101,17.40927947738582300000,104.78024567741966000000
"00036","สำนักงานสาธารณสุขจังหวัดมุกดาหาร","01","ถ.พิทักษ์พนมเขต  ","","01","02","01",49,49000,"000003600",0,"-",0,0,21002,"",NULL,21000,4901,490102,16.54705652191636700000,104.72575916260030000000
"00037","สำนักงานสาธารณสุขจังหวัดเชียงใหม่","01","-",NULL,"00","08","01",50,"-","000003700",0,NULL,0,0,21002,"",NULL,21000,5001,500108,18.79018030000000000000,98.96451925900000000000
"00040","สำนักงานสาธารณสุขจังหวัดอุตรดิตถ์","01",130 ,"","08","05","08",53,53000,"000004000",0,"-",0,0,21002,"",NULL,21000,5308,530805,17.64012321196964500000,100.05279346295356000000
"00041","สำนักงานสาธารณสุขจังหวัดแพร่","01","เลขที  25   ","","00","01","01",54,"-","000004100",0,"-",0,0,21002,"",NULL,21000,5401,540101,18.11643079046139700000,100.14904346319884000000
"00042","สำนักงานสาธารณสุขจังหวัดน่าน","01","1 ถนนวรวิชัย ","","00","01","01",55,55110,"000004200",0,"-",0,0,21002,"",NULL,21000,5501,550101,18.80956886612355600000,100.77625125926238000000
"00043","สำนักงานสาธารณสุขจังหวัดพะเยา","01","602 พหลโยธิน พหลโยธิน ม.11 ","",11,"07","01",56,56000,"000004300",0,"-",0,0,21002,"",NULL,21000,5601,560107,19.19250916382545000000,99.87978674603278000000
"00044","สำนักงานสาธารณสุขจังหวัดเชียงราย","01","424 บ้านหนองยาว","","05",18,"01",57,57000,"000004400",0,"-",0,0,21002,"",NULL,21000,5701,570118,19.84851426694469400000,99.86032750862250000000
"00045","สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน","01","ขุนลุมประภาส","","00","01","01",58,58000,"000004500",0,"-",0,0,21002,"",NULL,21000,5801,580101,19.28705813281936800000,97.96270313065384000000
"00046","สำนักงานสาธารณสุขจังหวัดนครสวรรค์","01","782 ถ.พหลโยธิน","",10,"06","01",60,60000,"000004600",0,"-",0,0,21002,"",NULL,21000,6001,600106,15.70783157114199000000,100.10479052045434000000
"00047","สำนักงานสาธารณสุขจังหวัดอุทัยธานี","01",160 ,"","01","01","01",61,61000,"000004700",0,"-",0,0,21002,"",NULL,21000,6101,610101,15.36371772939122400000,100.00829924685934000000
"00048","สำนักงานสาธารณสุขจังหวัดกำแพงเพชร","01","-","","00",10,"01",62,"-","000004800",0,"-",0,0,21002,"",NULL,21000,6201,620110,16.55792839654009500000,99.51317769814750000000
"00049","สำนักงานสาธารณสุขจังหวัดตาก","01",165 ,"","07","06","01",63,63000,"000004900",0,"-",0,0,21002,"",NULL,21000,6301,630106,16.90266164255539400000,99.11587968465574000000
"00050","สำนักงานสาธารณสุขจังหวัดสุโขทัย","01","-","","01","06","01",64,64000,"000005000",0,"-",0,0,21002,"",NULL,21000,6401,640106,16.99952485212562400000,99.78985658020929000000
"00051","สำนักงานสาธารณสุขจังหวัดพิษณุโลก","01","-","","00","01","01",65,"-","000005100",0,"-",0,0,21002,"",NULL,21000,6501,650101,16.81725384574793500000,100.26085448220897000000
"00052","สำนักงานสาธารณสุขจังหวัดพิจิตร","01","-","","00","01","01",66,"-","000005200",0,"-",0,0,21002,"",NULL,21000,6601,660101,16.44999538744514600000,100.32877571160884000000
"00053","สำนักงานสาธารณสุขจังหวัดเพชรบูรณ์","01",72,"","00","01","01",67,"-","000005300",0,"-",0,0,21002,"",NULL,21000,6701,670101,16.85119350523179000000,101.18477732911913000000
"00054","สำนักงานสาธารณสุขจังหวัดราชบุรี","01","421ถ.ศรีสุริยวงศ์ ",NULL,"00","01","01",70,70000,"000005400",0,"-",0,0,21002,"",NULL,21000,7001,700101,13.53413929737153900000,99.80927677410409000000
"00055","สำนักงานสาธารณสุขจังหวัดกาญจนบุรี","01","270 ถ.แสงชูโต ","","03","03","01",71,71000,"000005500",0,"-",0,0,21002,"",NULL,21000,7101,710103,14.00343154007873000000,99.55058247486875000000
"00056","สำนักงานสาธารณสุขจังหวัดสุพรรณบุรี","01","-","","00","-","01",72,"-","000005600",0,"-",0,0,21002,"",NULL,21000,7201,"7201-",14.43269600000000000000,100.10284300000000000000
"00057","สำนักงานสาธารณสุขจังหวัดนครปฐม","01","-","","00","01","01",73,"-","000005700",0,"-",0,0,21002,"",NULL,21000,7301,730101,13.81989841038699800000,100.07231833656260000000
"00058","สำนักงานสาธารณสุขจังหวัดสมุทรสาคร","01","24 / 87 ","","03",17,"01",74,74000,"000005800",0,"-",0,0,21002,"",NULL,21000,7401,740117,13.52717195840916800000,100.29407411559578000000
"00059","สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม","01","202 ถ.เอกชัย","","00","03","01",75,"03471","000005900",0,"-",0,0,21002,"",NULL,21000,7501,750103,13.42755911565479800000,100.02398811904914000000
"00060","สำนักงานสาธารณสุขจังหวัดเพชรบุรี","01","48 ถ.ราชวิถี","","00","02","01",76,76000,"000006000",0,"-",0,0,21002,"",NULL,21000,7601,760102,13.11138623856907700000,99.94535665284798000000
"00061","สำนักงานสาธารณสุขจังหวัดประจวบคีรีขันธ์","01","9 ถ.ก้องเรียติ ","","00","01","01",77,"-","000006100",0,"-",0,0,21002,"",NULL,21000,7701,770101,11.80783230831684000000,99.79710184768555000000
"00062","สำนักงานสาธารณสุขจังหวัดนครศรีธรรมราช","01",184 ,NULL,"07",18,"01",80,"-","000006200",0,"-",0,NULL,21002,"",NULL,21000,8001,800118,8.41987482816002400000,99.96104860324931000000
"00063","สำนักงานสาธารณสุขจังหวัดกระบี่","01","112 ถ.อุตรกิจ ","","00","01","01",81,81000,"000006300",0,"-",0,0,21002,"",NULL,21000,8101,810101,8.05744006293446100000,98.91841676726995000000
"00064","สำนักงานสาธารณสุขจังหวัดพังงา","01","649 ถ.เพชรเกษม","","00","01","01",82,82000,"000006400",0,"-",0,0,21002,"",NULL,21000,8201,820101,8.44031708324098400000,98.51931280422968000000
"00066","สำนักงานสาธารณสุขจังหวัดสุราษฎร์ธานี","01","8  ถ.การุณราษฎร์   ","","00","01","01",84,84000,"000006600",0,"-",0,0,21002,"",NULL,21000,8401,840101,9.13325971568252700000,99.32619872098167000000
"00067","สำนักงานสาธารณสุขจังหวัดระนอง","01","9  ถ.กำลังทรัพย์ ","","00","01","01",85,85000,"000006700",0,"-",0,0,21002,"",NULL,21000,8501,850101,9.96404073061146000000,98.64170504718890000000
"00068","สำนักงานสาธารณสุขจังหวัดชุมพร","01","ถ.ปรมินทรมรรคา ","","00","01","01",86,86000,"000006800",0,"-",0,0,21002,"",NULL,21000,8601,860101,10.45483200000000000000,99.21427140000003000000
"00069","สำนักงานสาธารณสุขจังหวัดสงขลา","01","161/1 ถ.รามวิถี","","00","01","01",90,90000,"000006900",0,"-",0,0,21002,"",NULL,21000,9001,900101,7.19720738945159600000,100.59309966381215000000
"00070","สำนักงานสาธารณสุขจังหวัดสตูล","01","ถ.ยาตราสวัสดี  ",NULL,"00","01","01",91,91000,"000007000",0,"-",0,0,21002,"",NULL,21000,9101,910101,6.61848210000000000000,100.07026429999996000000
"00071","สำนักงานสาธารณสุขจังหวัดตรัง","01",181 ,"","04","05","01",92,92170,"000007100",0,"-",0,0,21002,"",NULL,21000,9201,920105,7.51414563248371100000,99.63201899606167000000
"00073","สำนักงานสาธารณสุขจังหวัดปัตตานี","01","2ถ.สฤษดิ์ ","","00","01","01",94,"-","000007300",0,"-",0,0,21002,"",NULL,21000,9401,940101,6.88768557429625500000,101.24669800304105000000
"00074","สำนักงานสาธารณสุขจังหวัดยะลา","01","93 ถนนเทศบาล 1 ","","00","01","01",95,95000,"000007400",0,"-",0,0,21002,"",NULL,21000,9501,950101,6.54515710000000000000,101.27805400000000000000
"00075","สำนักงานสาธารณสุขจังหวัดนราธิวาส","01",36 ,"","09","07","01",96,96000,"000007500",0,"",0,0,21002,"",NULL,21000,9601,960107,6.44088078613871800000,101.79332444980696000000
"00077","สำนักงานสาธารณสุขอำเภอบางบ่อ","02","ถ.รัตนราช","","00","01","02",11,10560,"000007700",0,"-",0,0,21002,"",NULL,21000,1102,110201,13.57014796830065300000,100.83779297894739000000
"00078","สำนักงานสาธารณสุขอำเภอบางพลี","02","ถ.สุขาภิบาล","","01","01","03",11,10540,"000007800",0,"-",0,0,21002,"",NULL,21000,1103,110301,13.61374046204201300000,100.74248473775253000000
"00088","สำนักงานสาธารณสุขอำเภอเมืองปทุมธานี","02","-","","00","03","01",13,12000,"000008800",0,"-",0,0,21002,"",NULL,21000,1301,130103,14.02612640234078400000,100.58699530159470000000
"00091","สำนักงานสาธารณสุขอำเภอหนองเสือ","02","-","","00","01","04",13,12140,"000009100",0,"-",0,0,21002,"",NULL,21000,1304,130401,14.13414487527380000000,100.82430232334820000000
"00092","สำนักงานสาธารณสุขอำเภอลาดหลุมแก้ว","02","-","","00","01","05",13,12140,"000009200",0,"-",0,0,21002,"",NULL,21000,1305,130501,14.04081961646761400000,100.41986059081421000000
"00093","สำนักงานสาธารณสุขอำเภอลำลูกกา","02","-","",11,"04","06",13,12150,"000009300",0,"-",0,0,21002,"",NULL,21000,1306,130604,13.93380463743753600000,100.75085990544880000000
"00095","สำนักงานสาธารณสุขอำเภอพระนครศรีอยุธยา","02","-","","03",17,"01",14,"-","000009500",0,"-",0,0,21002,"",NULL,21000,1401,140117,14.35250000000000000000,100.57600000000000000000
"00096","สำนักงานสาธารณสุขอำเภอท่าเรือ","02","-","","00","01","02",14,"-","000009600",0,"-",0,0,21002,"","2007-10-23",21000,1402,140201,14.56530000000000000000,100.72400000000000000000
"00097","สำนักงานสาธารณสุขอำเภอนครหลวง","02","-","","02","01","03",14,"-","000009700",0,"-",0,0,21002,"",NULL,21000,1403,140301,14.46800000000000000000,100.61100000000000000000
"00098","สำนักงานสาธารณสุขอำเภอบางไทร","02","-","","04","01","04",14,"-","000009800",0,"-",0,0,21002,"","2007-10-22",21000,1404,140401,14.21310000000000000000,100.49800000000000000000
"00099","สำนักงานสาธารณสุขอำเภอบางบาล","02","-","","01","04","05",14,"-","000009900",0,"-",0,0,21002,"","2007-10-22",21000,1405,140504,14.36620000000000000000,100.48800000000000000000
"00100","สำนักงานสาธารณสุขอำเภอบางปะอิน","02","-","",11,"01","06",14,13160,"000010000",0,"-",0,0,21002,"","2013-12-24",21000,1406,140601,14.22690000000000000000,100.57600000000000000000
"00101","สำนักงานสาธารณสุขอำเภอบางปะหัน","02","-","","06","01","07",14,"-","000010100",0,"-",0,0,21002,"",NULL,21000,1407,140701,14.46220000000000000000,100.54900000000000000000
"00102","สำนักงานสาธารณสุขอำเภอผักไห่","02","-","","04","01","08",14,"-","000010200",0,"-",0,0,21002,"",NULL,21000,1408,140801,14.45810000000000000000,100.37000000000000000000
"00103","สำนักงานสาธารณสุขอำเภอภาชี","02","-","","04","01","09",14,"-","000010300",0,"-",0,0,21002,"",NULL,21000,1409,140901,14.44930000000000000000,100.72800000000000000000
"00104","สำนักงานสาธารณสุขอำเภอลาดบัวหลวง","02","-","","03","01",10,14,"-","000010400",0,"-",0,0,21002,"",NULL,21000,1410,141001,14.16560000000000000000,100.30800000000000000000
"00105","สำนักงานสาธารณสุขอำเภอวังน้อย","02","-","","05","04",11,14,"-","000010500",0,"-",0,0,21002,"",NULL,21000,1411,141104,14.22800000000000000000,100.71500000000000000000
"00106","สำนักงานสาธารณสุขอำเภอเสนา","02","-","","02","01",12,14,"-","000010600",0,"-",0,0,21002,"",NULL,21000,1412,141201,14.32400000000000000000,100.40300000000000000000
"00107","สำนักงานสาธารณสุขอำเภอบางซ้าย","02","-","","01","01",13,14,"-","000010700",0,"-",0,0,21002,"",NULL,21000,1413,141301,14.31870000000000000000,100.29900000000000000000
"00108","สำนักงานสาธารณสุขอำเภออุทัย","02","-","","01","06",14,14,"-","000010800",0,"-",0,0,21002,"",NULL,21000,1414,141406,14.36250000000000000000,100.67100000000000000000
"00109","สำนักงานสาธารณสุขอำเภอมหาราช","02","-","","06","01",15,14,"-","000010900",0,"-",0,0,21002,"","2007-10-22",21000,1415,141501,14.53810000000000000000,100.52700000000000000000
"00110","สำนักงานสาธารณสุขอำเภอบ้านแพรก","02","-","","00","01",16,14,"-","000011000",0,"-",0,0,21002,"",NULL,21000,1416,141601,14.64580000000000000000,100.57500000000000000000
"00118","สำนักงานสาธารณสุขอำเภอเมืองลพบุรี","02","ที่ว่าการอำเภอเมืองลพบุรี","","00","01","01",16,15000,"000011800",0,"-",0,0,21002,"",NULL,21000,1601,160101,14.79807940000000000000,100.65369570000000000000
"00119","สำนักงานสาธารณสุขอำเภอพัฒนานิคม","02","ชุมชนร่วมใจพัฒนา","","06","01","02",16,15140,"000011900",0,"-",0,0,21002,"",NULL,21000,1602,160201,14.85648089000000000000,100.99008800000000000000
"00120","สำนักงานสาธารณสุขอำเภอโคกสำโรง","02","142 ถนนพหลโยธิน","","04","01","03",16,15120,"000012000",0,"-",0,0,21002,"",NULL,21000,1603,160301,15.06094279000000000000,100.71903690000000000000
"00121","สำนักงานสาธารณสุขอำเภอชัยบาดาล","02","ชุมชนนารายณ์เจริญ เทศบาลตำบลลำนารายณ์","","00","01","04",16,15130,"000012100",0,"-",0,0,21002,"",NULL,21000,1604,160401,15.20534997000000000000,101.13503710000000000000
"00122","สำนักงานสาธารณสุขอำเภอท่าวุ้ง","02","-","","01","01","05",16,15150,"000012200",0,"-",0,0,21002,"",NULL,21000,1605,160501,14.81676120000000000000,100.50892080000000000000
"00123","สำนักงานสาธารณสุขอำเภอบ้านหมี่","02","เทศบาลเมืองบ้านหมี่  ชุมชนบ้านต้นพัฒนา","","00",19,"06",16,15110,"000012300",0,"-",0,0,21002,"",NULL,21000,1606,160619,15.04411504000000000000,100.53748070000000000000
"00124","สำนักงานสาธารณสุขอำเภอท่าหลวง","02","-","","09","01","07",16,15230,"000012400",0,"-",0,0,21002,"",NULL,21000,1607,160701,15.06566260000000000000,101.12306480000000000000
"00125","สำนักงานสาธารณสุขอำเภอสระโบสถ์","02","ถนนวังเพลิง-หนองม่วง","",10,"05","08",16,15240,"000012500",0,"-",0,0,21002,"",NULL,21000,1608,160805,15.19356469000000000000,100.84224520000000000000
"00126","สำนักงานสาธารณสุขอำเภอโคกเจริญ","02","225 ถนนหนองม่วง-ศรีเทพ","","09","01","09",16,15250,"000012600",0,"-",0,0,21002,"",NULL,21000,1609,160901,15.38134784000000000000,100.82377290000000000000
"00127","สำนักงานสาธารณสุขอำเภอลำสนธิ","02","ถนนลำสนธิ-กุดตาเพรช","","01","01",10,16,15190,"000012700",0,"-",0,0,21002,"",NULL,21000,1610,161001,15.30249016000000000000,101.35899910000000000000
"00128","สำนักงานสาธารณสุขอำเภอหนองม่วง","02","ถนนหนองม่วง-วัดบ่อยาง","","04","01",11,16,15170,"000012800",0,"-",0,0,21002,"",NULL,21000,1611,161101,15.23274300000000000000,100.65791900000000000000
"00130","สำนักงานสาธารณสุขอำเภอบางระจัน","02","ถนนขุนสิขรณ์","","04","01","02",17,16130,"000013000",0,"-",0,0,21002,"",NULL,21000,1702,170201,14.89210969018433000000,100.31665403708803000000
"00132","สำนักงานสาธารณสุขอำเภอพรหมบุรี","02","ถนนสงิห์บุรีวีดตราชู","","03","03","04",17,16120,"000013200",0,"-",0,0,21002,"",NULL,21000,1704,170403,14.79113347610400800000,100.45319456920015000000
"00133","สำนักงานสาธารณสุขอำเภอท่าช้าง","02","ท่าช้างท่าข้าม","","01","01","05",17,16140,"000013300",0,"-",0,0,21002,"",NULL,21000,1705,170501,14.76168164148508500000,100.39449174270021000000
"00134","สำนักงานสาธารณสุขอำเภออินทร์บุรี","02","-","","00","01","06",17,16110,"000013400",0,"-",0,0,21002,"",NULL,21000,1706,170601,15.00775818507411000000,100.32636134811400000000
"00162","สำนักงานสาธารณสุขอำเภอศรีราชา","02","ที่ว่าการอำเภอศรีราชา  ","","00","01","07",20,"-","000016200",0,"-",0,0,21002,"",NULL,21000,2007,200701,13.17473901095027400000,100.93021747976229000000
"00165","สำนักงานสาธารณสุขอำเภอบ่อทอง","02",292  ,"","01","01",10,20,"-","000016500",0,"-",0,0,21002,"",NULL,21000,2010,201001,13.17493684468547600000,101.45884170649413000000
"00167","สำนักงานสาธารณสุขอำเภอเมืองระยอง","02","75/16 ถ.สุขุมวิท","","02","09","01",21,21000,"000016700",0,"-",0,0,21002,"",NULL,21000,2101,210109,12.68306539448246200000,101.23742033684005000000
"00169","สำนักงานสาธารณสุขอำเภอแกลง","02","9/15","","00","01","03",21,21110,"000016900",0,"-",0,0,21002,"",NULL,21000,2103,210301,12.77419345132999200000,101.65283282090150000000
"00170","สำนักงานสาธารณสุขอำเภอวังจันทร์","02","-","","00","02","04",21,21210,"000017000",0,"-",0,0,21002,"",NULL,21000,2104,210402,12.93442081669858900000,101.51908112491606000000
"00175","สำนักงานสาธารณสุขอำเภอเมืองจันทบุรี","02","ถ.เลียบเนิน ","","00","01","01",22,22000,"000017500",0,"-",0,0,21002,"",NULL,21000,2201,220101,12.60659847816485500000,102.09476901095161000000
"00176","สำนักงานสาธารณสุขอำเภอขลุง","02","-","","01","01","02",22,"-","000017600",0,"-",0,0,21002,"",NULL,21000,2202,220201,12.45493805482266200000,102.22159043610759000000
"00177","สำนักงานสาธารณสุขอำเภอท่าใหม่","02","-","","01","01","03",22,22120,"000017700",0,"-",0,0,21002,"",NULL,21000,2203,220301,12.61915831601459300000,102.01250561669985000000
"00178","สำนักงานสาธารณสุขอำเภอโป่งน้ำร้อน","02","-","","01","01","04",22,22140,"000017800",0,"-",0,0,21002,"",NULL,21000,2204,220401,12.90284904133031300000,102.26295732488825000000
"00179","สำนักงานสาธารณสุขอำเภอมะขาม","02","-","","01","01","05",22,22150,"000017900",0,"-",0,0,21002,"",NULL,21000,2205,220501,12.68514158760777400000,102.19842300783466000000
"00180","สำนักงานสาธารณสุขอำเภอแหลมสิงห์","02","-","","01","01","06",22,22130,"000018000",0,"-",0,0,21002,"",NULL,21000,2206,220601,12.48140174147039600000,102.06638577180547000000
"00181","สำนักงานสาธารณสุขอำเภอสอยดาว","02","-","","01","01","07",22,22180,"000018100",0,"-",0,0,21002,"",NULL,21000,2207,220701,13.13613332121179800000,102.22152314067989000000
"00182","สำนักงานสาธารณสุขอำเภอแก่งหางแมว","02","-","","01","01","08",22,22160,"000018200",0,"-",0,0,21002,"",NULL,21000,2208,220801,13.00934966156884800000,101.90605244518429000000
"00183","สำนักงานสาธารณสุขอำเภอนายายอาม","02","-","",12,"01","09",22,22160,"000018300",0,"-",0,0,21002,"",NULL,21000,2209,220901,12.77105639892615800000,101.85340604663998000000
"00184","สำนักงานสาธารณสุขอำเภอคิชฌกูฏ","02","-","","05","01",10,22,22210,"000018400",0,"-",0,0,21002,"",NULL,21000,2210,221001,12.79990762338740000000,102.11700281978756000000
"00185","สำนักงานสาธารณสุขอำเภอเมืองตราด","02","270 ถ.ดอนจวน-บ้านล่าง","","05","02","01",23,23000,"000018500",0,"-",0,0,21002,"",NULL,21000,2301,230102,12.22948906606151300000,102.50997831262816000000
"00186","สำนักงานสาธารณสุขอำเภอคลองใหญ่","02","415 ม.2 ถ.ชำนิอนุสรณ์ ","","02","01","02",23,23110,"000018600",0,"-",0,0,21002,"",NULL,21000,2302,230201,11.77480119615327500000,102.88453099173626000000
"00187","สำนักงานสาธารณสุขอำเภอเขาสมิง","02",29 ,"","01","01","03",23,23130,"000018700",0,"-",0,0,21002,"",NULL,21000,2303,230301,12.35562328793159800000,102.43833086873587000000
"00188","สำนักงานสาธารณสุขอำเภอบ่อไร่","02",56 ,"","03","01","04",23,23140,"000018800",0,"-",0,0,21002,"",NULL,21000,2304,230401,12.56959177728469600000,102.53087561410825000000
"00189","สำนักงานสาธารณสุขอำเภอแหลมงอบ","02","119/25","","01","01","05",23,23120,"000018900",0,"-",0,0,21002,"",NULL,21000,2305,230501,12.17043044122550400000,102.39571268650366000000
"00190","สำนักงานสาธารณสุขอำเภอเกาะกูด","02",21 ,"","02","02","06",23,23000,"000019000",0,"-",0,0,21002,"",NULL,21000,2306,230602,11.65675190368594000000,102.53594753822017000000
"00191","สำนักงานสาธารณสุขอำเภอเกาะช้าง","02","29/2 ","","02","01","07",23,23170,"000019100",0,"-",0,0,21002,"",NULL,21000,2307,230701,12.11029589068362000000,102.35221882499923000000
"00194","สำนักงานสาธารณสุขอำเภอบางน้ำเปรี้ยว","02","190/1 ","","05",10,"03",24,24150,"000019400",0,"-",0,0,21002,"",NULL,21000,2403,240310,13.87291801984420700000,101.05191394232793000000
"00199","สำนักงานสาธารณสุขอำเภอสนามชัยเขต","02",195  ,"","04","01","08",24,24160,"000019900",0,"-",0,0,21002,"",NULL,21000,2408,240801,13.65865155254193800000,101.43874062698364000000
"00203","สำนักงานสาธารณสุขอำเภอเมืองปราจีนบุรี","02","ปราจีนอนุสรณ์ (บนที่ว่าการอำเภอ) จ.ปราจีนบุรี","","08","01","01",25,"-","000020300",0,"-",0,0,21002,"",NULL,21000,2501,250101,14.05056100000000000000,101.36687000000000000000
"00204","สำนักงานสาธารณสุขอำเภอกบินทร์บุรี","02","เลขที่ 2 ถ.อนุกูล เทศบาลตำบลกบินทร์ อ.กบินทร์บุรี ","","08","01","02",25,"-","000020400",0,"-",0,0,21002,"",NULL,21000,2502,250201,13.98882300000000000000,101.71727000000000000000
